timestamp,station_id,temperature,humidity,pressure,precipitation,wind_speed,wind_direction,radar_snr,radar_reflectivity_bias,neighbor_temp_values,metadata
2025-01-01T00:00:00,S1,32.78,56.0,900.6,0.0,3.35,178.9,15.46,0.2,33.3;31.9,Normal conditions.
2025-01-01T00:05:00,S1,32.47,54.7,901.0,0.0,2.63,196.7,14.41,1.25,32.4;32.9,Normal conditions.
2025-01-01T00:10:00,S1,30.44,74.1,900.7,0.0,3.6,173.7,15.55,0.04,29.5;30.9,Normal conditions.
2025-01-01T00:15:00,S1,29.94,67.6,898.8,0.0,1.82,176.4,14.67,0.81,29.5;30.0,Normal conditions.
2025-01-01T00:20:00,S1,31.32,57.9,898.0,0.0,2.18,192.7,15.78,-0.4,31.6;30.4,Normal conditions.
2025-01-01T00:25:00,S1,29.37,80.3,899.1,0.0,2.97,170.5,16.98,0.69,29.1;29.3,Normal conditions.
2025-01-01T00:30:00,S1,30.9,66.0,898.0,0.0,2.92,207.5,16.15,0.81,31.1;30.6,Normal conditions.
2025-01-01T00:35:00,S1,29.81,60.4,899.1,0.0,2.02,208.8,15.82,0.44,30.1;30.1,Normal conditions.
2025-01-01T00:40:00,S1,30.17,62.4,897.5,0.0,2.07,188.8,14.19,1.05,30.2;30.8,Normal conditions.
2025-01-01T00:45:00,S1,29.41,64.2,901.0,0.0,4.38,166.9,13.43,0.7,29.6;29.1,Normal conditions.
2025-01-01T00:50:00,S1,28.68,74.5,902.0,0.0,3.27,173.2,15.87,0.33,29.5;28.5,Normal conditions.
2025-01-01T00:55:00,S1,29.1,56.6,900.8,0.0,3.1,190.5,12.62,0.69,28.0;28.4,Normal conditions.
2025-01-01T01:00:00,S1,29.1,66.2,899.3,0.0,3.14,170.6,18.12,0.14,28.5;29.2,Normal conditions.
2025-01-01T01:05:00,S1,28.9,70.0,898.6,0.0,2.12,188.0,15.4,-0.22,29.3;28.4,Normal conditions.
2025-01-01T01:10:00,S1,28.98,69.3,899.7,0.0,3.97,188.7,14.62,0.19,29.2;29.7,Normal conditions.
2025-01-01T01:15:00,S1,30.54,59.6,899.7,0.0,3.52,170.4,16.88,0.71,30.4;30.1,Normal conditions.
2025-01-01T01:20:00,S1,29.31,69.8,898.6,0.0,3.85,175.0,13.89,1.03,28.7;29.5,Normal conditions.
2025-01-01T01:25:00,S1,29.74,61.9,901.7,0.0,3.38,189.1,13.52,1.95,30.0;30.3,Normal conditions.
2025-01-01T01:30:00,S1,29.54,64.8,900.6,0.0,3.14,175.8,15.46,0.34,30.4;29.3,Normal conditions.
2025-01-01T01:35:00,S1,28.79,70.7,900.2,0.0,4.41,172.9,13.77,-0.33,29.1;28.3,Normal conditions.
2025-01-01T01:40:00,S1,28.85,72.0,903.1,0.0,3.84,192.4,16.2,0.89,28.5;29.3,Normal conditions.
2025-01-01T01:45:00,S1,28.71,68.5,900.6,0.0,1.38,197.8,16.55,-0.17,29.0;29.1,Normal conditions.
2025-01-01T01:50:00,S1,29.56,63.8,901.0,0.0,2.85,211.5,13.97,0.39,28.7;30.0,Normal conditions.
2025-01-01T01:55:00,S1,28.79,63.9,902.3,0.0,3.4,190.2,14.3,0.21,29.8;29.4,Normal conditions.
2025-01-01T02:00:00,S1,28.41,69.7,899.8,0.0,1.92,182.5,16.4,0.01,28.4;28.1,Normal conditions.
2025-01-01T02:05:00,S1,28.5,67.3,900.8,0.0,2.75,154.7,14.34,0.28,28.3;28.5,Normal conditions.
2025-01-01T02:10:00,S1,28.16,66.9,899.1,0.0,3.34,169.1,12.82,0.57,29.4;28.9,Normal conditions.
2025-01-01T02:15:00,S1,27.91,68.6,901.9,0.0,3.22,173.9,14.82,0.66,28.0;28.4,Normal conditions.
2025-01-01T02:20:00,S1,28.65,55.0,899.1,0.0,5.42,186.6,14.93,0.48,28.6;28.1,Normal conditions.
2025-01-01T02:25:00,S1,27.19,77.3,898.9,0.0,2.13,160.9,15.79,0.46,26.7;27.3,Normal conditions.
2025-01-01T02:30:00,S1,27.19,68.0,900.9,0.0,3.39,196.4,16.21,0.57,27.4;27.1,Normal conditions.
2025-01-01T02:35:00,S1,27.53,67.2,899.4,0.0,2.85,211.7,14.58,0.68,28.6;28.2,Normal conditions.
2025-01-01T02:40:00,S1,26.73,72.6,900.6,0.0,3.45,176.5,14.35,0.31,27.1;26.5,Normal conditions.
2025-01-01T02:45:00,S1,28.2,72.0,899.0,0.0,3.21,173.8,16.09,0.28,28.2;27.4,Normal conditions.
2025-01-01T02:50:00,S1,26.64,69.2,898.3,0.0,3.49,177.8,14.5,-0.48,26.7;26.9,Normal conditions.
2025-01-01T02:55:00,S1,26.93,74.5,898.2,0.0,4.0,168.9,14.18,-0.23,26.7;27.5,Normal conditions.
2025-01-01T03:00:00,S1,27.49,83.4,897.7,0.0,3.38,187.7,15.09,0.9,27.4;26.9,Normal conditions.
2025-01-01T03:05:00,S1,26.99,66.1,899.3,0.0,2.14,179.2,14.76,0.54,26.8;27.7,Normal conditions.
2025-01-01T03:10:00,S1,27.27,67.4,897.6,0.0,3.72,159.4,15.85,0.76,27.3;27.4,Normal conditions.
2025-01-01T03:15:00,S1,27.09,64.4,902.2,0.0,2.36,228.9,16.67,0.02,27.4;26.9,Normal conditions.
2025-01-01T03:20:00,S1,27.7,71.9,897.3,0.0,2.61,179.6,14.68,-0.3,27.4;27.6,Normal conditions.
2025-01-01T03:25:00,S1,25.81,78.2,901.8,0.0,2.63,158.4,14.9,1.33,26.0;25.7,Normal conditions.
